account;outcome;evaluation;industry;propensity;contract;date;amount;days
117;Lost;A;Manufacturing;Good;Monthly;01-01-2022;46.369.355.497.339.100;1.553.707.029.055.310
118;Lost;B;Government;Average;Monthly;01-01-2022;3.628.085.351.496.370;14.407.767.967.065.700
119;Won;B;Academia;Good;Monthly;01-01-2022;4.291.251.734.678.860;6.822.700.336.793.270
120;Lost;A;Academia;Good;Monthly;01-01-2022;4.233.057.279.961.640;3.813.255.672.632.260
121;Won;B;Academia;Good;Monthly;01-01-2022;36.510.622.540.870.800;24.837.099.364.954.100
122;Lost;None;Manufacturing;Good;Monthly;01-01-2022;465.849.963.001.101;44.036.155.223.808.800
123;Won;None;Government;Poor;Monthly;01-01-2022;488.940.134.624.735;1.669.271.732.484.440
124;Lost;A;Energy;Average;Monthly;01-01-2022;4.773.314.294.735.780;4.216.452.261.088.050
125;Lost;B;Academia;Good;Monthly;01-01-2022;29.879.232.088.930.800;20.877.874.885.996.600
126;Won;None;Energy;Good;Monthly;01-01-2022;49.351.260.046.334.500;3.895.489.307.455.340
127;Won;B;Government;Good;Monthly;01-01-2022;5.064.004.470.374.250;4.965.441.657.996.940
128;Lost;B;Government;Good;Annual;01-01-2022;3.970.573.617.747.510;25.655.264.387.901.300
129;Won;B;Manufacturing;Average;Monthly;01-01-2022;3.899.191.579.832.070;52.230.677.033.907.200
130;Won;A;Manufacturing;Good;Monthly;01-01-2022;54.397.318.521.159.600;5.003.501.840.118.110
131;Lost;None;Academia;Average;Annual;01-01-2022;3.835.552.125.095.380;29.218.198.921.875.200
132;Lost;None;Manufacturing;Good;Monthly;01-01-2022;4.351.405.237.818.480;33.620.255.413.732.100
133;Lost;A;Academia;Average;Annual;01-01-2022;3.720.831.140.351.740;14.690.549.472.684.000
134;Lost;None;Academia;Average;Annual;01-01-2022;3.998.098.290.067.250;38.785.925.314.149.600
135;Won;A;Manufacturing;Good;Monthly;01-01-2022;47.285.912.886.258.000;2.030.154.785.910.100
136;Lost;None;Manufacturing;Poor;Annual;01-01-2022;4.002.867.802.024.740;20.880.267.120.996.200
137;Won;A;Government;Good;Annual;01-01-2022;459.078.104.554.243;18.983.982.580.203.000
138;Lost;None;Manufacturing;Average;Annual;01-01-2022;3.988.427.635.430.890;15.606.562.413.968.000
139;Lost;B;Academia;Poor;Annual;01-01-2022;3.228.962.805.405.070;22.873.215.336.168.300
140;Won;B;Energy;Good;Annual;01-01-2022;37.816.536.957.078.500;19.180.702.081.091.600
141;Lost;None;Government;Average;Annual;01-01-2022;3.595.055.009.661.680;10.070.373.987.868.700
142;Lost;None;Government;Good;Annual;01-01-2022;5.498.347.615.650.670;7.124.859.732.553.010
143;Won;B;Government;Good;Annual;01-01-2022;4.367.549.228.963.970;2.578.324.708.203.810
144;Lost;A;Government;Good;Monthly;01-01-2022;579.669.680.649.133;1.530.412.307.500.000
145;Won;B;Government;Average;Annual;01-01-2022;49.947.827.897.472.600;36.046.683.253.116.500
146;Lost;None;Manufacturing;Average;Monthly;01-01-2022;43.569.349.252.230.100;23.601.238.511.784.500
147;Lost;A;Manufacturing;Good;Monthly;01-01-2022;4.256.560.716.657.370;23.253.904.807.046.800
148;Lost;B;Manufacturing;Good;Annual;01-01-2022;3.863.901.583.471.990;19.460.813.984.305.600
149;Lost;None;Academia;Average;Monthly;01-01-2022;3.390.795.311.618.440;26.059.454.634.315.500
150;Won;A;Academia;Good;Monthly;01-01-2022;4.114.536.575.396.410;10.478.860.788.581.400
151;Won;A;Energy;Good;Annual;01-01-2022;5.115.450.027.264.980;2.800.136.680.401.450
152;Lost;B;Manufacturing;Good;Monthly;01-01-2022;3.504.617.287.260.280;3.285.250.603.948.220
153;Lost;None;Government;Average;Monthly;01-01-2022;4.574.004.160.234.190;21.651.031.104.565.300
154;Won;A;Manufacturing;Average;Annual;01-01-2022;3.206.470.865.933.650;2.416.846.224.690.560
155;Lost;B;Manufacturing;Poor;Monthly;01-01-2022;4.509.722.997.404.690;58.258.743.956.049.700
156;Won;A;Government;Average;Annual;01-01-2022;4.126.747.289.231.780;5.212.674.258.934.430
157;Lost;None;Government;Good;Monthly;01-01-2022;4.304.542.670.017.370;13.889.752.289.141.200
158;Won;B;Energy;Good;Monthly;01-01-2022;50.410.183.753.249.700;38.063.474.482.806.100
159;Lost;None;Academia;Average;Annual;01-01-2022;4.653.032.089.359.140;3.776.066.187.199.380
160;Won;A;Government;Average;Annual;01-01-2022;4.089.688.788.857.480;23.236.921.413.105.500
161;Won;A;Manufacturing;Poor;Annual;01-01-2022;4.318.982.727.000.990;3.169.949.761.116.210
162;Lost;None;Manufacturing;Good;Annual;01-01-2022;4.650.117.335.813.260;3.570.255.947.084.690
163;Won;A;Energy;Good;Monthly;01-01-2022;4.606.280.442.101.200;3.716.101.489.732.700
164;Lost;A;Academia;Good;Annual;01-01-2022;4.294.874.199.611.180;4.528.348.378.956.490
165;Won;B;Government;Good;Monthly;01-01-2022;46.813.196.270.368.000;2.156.054.476.434.190
166;Won;B;Government;Poor;Monthly;01-01-2022;4.892.188.832.446.590;4.376.566.805.442.370
167;Won;A;Government;Good;Monthly;01-01-2022;49.405.957.141.995.500;20.310.396.665.968.400
168;Lost;None;Government;Average;Monthly;01-01-2022;4.559.075.853.800.270;3.240.569.455.557.040
169;Lost;None;Government;Good;Annual;01-01-2022;49.780.245.181.438.500;2.992.244.181.380.300
170;Won;B;Energy;Good;Monthly;01-01-2022;5.477.146.009.910.510;263.969.968.345.579
171;Won;None;Government;Poor;Monthly;01-01-2022;5.177.656.911.918.870;25.760.956.741.006.500
172;Lost;B;Government;Average;Monthly;01-01-2022;532.168.881.019.446;3.935.574.459.892.870
173;Lost;B;Manufacturing;Good;Annual;01-01-2022;4.365.741.289.029.240;13.925.810.262.747.600
174;Lost;None;Energy;Good;Monthly;01-01-2022;49.320.973.306.366.800;39.357.025.192.299.000
175;Won;A;Government;Average;Monthly;01-01-2022;459.467.298.285.947;3.398.499.856.208.310
176;Won;B;Government;Average;Monthly;01-01-2022;5.528.248.160.565.690;38.225.628.444.197.800
177;Won;A;Academia;Average;Monthly;01-01-2022;39.026.741.159.352.000;14.107.743.474.967.400
178;Won;A;Government;Average;Annual;01-01-2022;40.221.758.376.189.900;22.703.170.030.609.800
179;Won;B;Government;Good;Monthly;01-01-2022;50.601.107.290.867.800;14.769.031.599.320.100
180;Won;B;Academia;Average;Monthly;01-01-2022;4.408.659.044.063.070;13.595.173.707.200.700
181;Won;None;Academia;Good;Monthly;01-01-2022;361.516.184.064.402;2.667.562.782.277.750
182;Lost;None;Government;Good;Annual;01-01-2022;48.979.000.910.601.900;33.468.371.351.636.900
183;Won;None;Manufacturing;Good;Monthly;01-01-2022;5.068.440.749.633.260;42.512.703.600.651.600
184;Won;None;Government;Good;Annual;01-01-2022;5.085.498.834.706.560;3.344.477.166.203.170
185;Won;A;Government;Average;Monthly;01-01-2022;47.620.173.269.956.100;3.391.555.123.335.380
186;Lost;None;Academia;Average;Monthly;01-01-2022;43.483.249.098.747.100;31.527.570.662.524.400
187;Lost;B;Manufacturing;Good;Monthly;01-01-2022;4.460.176.381.856.430;1.496.658.172.058.780
188;Lost;A;Manufacturing;Good;Annual;01-01-2022;40.032.949.206.812.600;14.575.121.084.461.000
189;Won;B;Academia;Average;Annual;01-01-2022;3.945.295.750.110.400;1.919.237.941.936.430
190;Lost;None;Finance;Poor;Monthly;01-01-2022;5.660.203.728.370.120;3.272.487.527.960.400
191;Lost;None;Energy;Good;Monthly;01-01-2022;4.291.224.603.177.850;27.735.954.756.757.900
192;Won;B;Government;Average;Annual;01-01-2022;4.856.456.008.978.570;6.932.809.424.907.210
193;Lost;None;Government;Good;Annual;01-01-2022;4.934.638.029.847.340;33.524.158.723.171.500
194;Won;A;Government;Poor;Monthly;01-01-2022;56.830.959.092.645.500;29.893.340.680.030.800
195;Won;B;Energy;Good;Annual;01-01-2022;4.940.263.034.820.030;40.118.816.328.003.900
196;Lost;B;Academia;Good;Monthly;01-01-2022;4.041.129.598.718.060;11.082.955.590.475.700
197;Won;None;Energy;Good;Annual;01-01-2022;4.475.468.604.902.190;3.638.637.882.823.510
198;Lost;None;Manufacturing;Good;Monthly;01-01-2022;45.053.685.169.239.500;26.866.304.437.551.600
199;Lost;None;Energy;Good;Annual;01-01-2022;40.569.298.282.940.600;10.825.596.149.415.400
200;Won;A;Academia;Poor;Monthly;01-01-2022;3.131.939.619.856.440;17.644.764.855.833.900
201;Lost;A;Academia;Good;Monthly;01-01-2022;4.610.339.351.016.820;2.985.934.043.992.270
202;Won;A;Academia;Good;Annual;01-01-2022;3.015.003.703.061.510;33.190.209.292.283.500
203;Lost;A;Manufacturing;Average;Annual;01-01-2022;3.494.458.612.711.700;10.534.970.935.762.700
204;Lost;None;Manufacturing;Good;Annual;01-01-2022;4.439.275.860.833.060;1.989.953.514.168.060
205;Won;A;Government;Average;Annual;01-01-2022;5.004.054.618.466.180;45.060.862.488.279.000
206;Won;B;Academia;Good;Annual;01-01-2022;3.262.461.319.240.260;109.805.559.018.293
207;Won;B;Government;Good;Monthly;01-01-2022;4.058.855.833.163.670;1
208;Lost;None;Government;Good;Annual;01-01-2022;39.827.780.774.173.400;3.536.812.110.824.720
209;Lost;B;Energy;Good;Annual;01-01-2022;46.267.383.086.609.200;28.231.948.671.918.400
210;Lost;B;Academia;Poor;Monthly;01-01-2022;3.753.605.068.896.490;14.002.672.316.888.500
211;Lost;B;Manufacturing;Average;Monthly;01-01-2022;4.909.599.794.836.400;3.464.423.399.321.850
212;Won;A;Manufacturing;Good;Annual;01-01-2022;41.661.544.238.044.300;11.461.963.248.397.800
213;Lost;B;Academia;Average;Monthly;01-01-2022;3.505.443.725.628.590;1.604.194.481.280.080
214;Lost;B;Government;Good;Monthly;01-01-2022;49.100.067.327.761.400;2.514.207.064.130.690
215;Lost;A;Manufacturing;Good;Annual;01-01-2022;4.391.386.054.156.330;2.644.592.871.774.470
216;Lost;A;Government;Good;Annual;01-01-2022;44.074.257.121.807.800;2.284.063.572.220.160
217;Lost;None;Academia;Average;Annual;01-01-2022;361.212.184.325.073;26.050.147.575.681.000
218;Won;None;Academia;Good;Monthly;01-01-2022;42.118.633.002.975.600;31.031.172.377.731.200
219;Won;B;Government;Average;Monthly;01-01-2022;5.630.551.527.545.390;34.403.368.604.003.500
220;Lost;None;Manufacturing;Poor;Annual;01-01-2022;32.405.122.862.155.400;3.780.708.606.374.170
221;Lost;None;Government;Average;Annual;01-01-2022;4.495.129.759.332.080;30.639.711.394.420.400
222;Won;B;Manufacturing;Good;Annual;01-01-2022;4.370.314.328.417.180;12.207.079.727.117.700
223;Won;B;Manufacturing;Average;Monthly;01-01-2022;3.987.989.186.767.160;3.890.363.108.070.840
224;Won;A;Government;Good;Annual;01-01-2022;4.398.415.292.050.150;25.875.476.669.219.200
225;Won;A;Manufacturing;Good;Monthly;01-01-2022;5.179.596.915.895.580;11.602.614.793.782.600
226;Lost;None;Academia;Poor;Annual;01-01-2022;4.783.800.245.637.110;2.649.869.971.684.420
227;Lost;None;Academia;Average;Annual;01-01-2022;3.388.979.672.656.710;8.322.962.459.757.870
228;Lost;None;Government;Good;Monthly;01-01-2022;5.317.810.213.217.960;322.931.166.885.496
229;Won;B;Government;Average;Monthly;01-01-2022;54.516.999.224.819.600;4.132.271.965.491.480
230;Lost;None;Government;Good;Annual;01-01-2022;4.285.523.388.158.560;2.034.538.449.782.900
231;Won;B;Energy;Good;Monthly;01-01-2022;4.841.990.441.154.540;3.025.986.638.718.460
232;Won;None;Energy;Good;Monthly;01-01-2022;57.432.334.200.222.700;3.302.951.463.043.030
233;Won;A;Government;Good;Monthly;01-01-2022;4.863.384.587.291.890;4.777.297.971.684.460
234;Lost;A;Academia;Good;Monthly;01-01-2022;35.027.145.740.732.400;21.543.218.414.812.400
235;Won;B;Manufacturing;Average;Monthly;01-01-2022;4.322.067.367.501.150;263.944.074.344.417
236;Won;B;Non-Profit;Good;Monthly;01-01-2022;47.051.867.033.278.400;30.567.545.248.023.500
237;Won;A;Technology;Average;Annual;01-01-2022;6.450.383.007.492.790;5.068.570.604.476.020
238;Won;B;Technology;Good;Annual;01-01-2022;63.172.282.076.132.600;3.566.821.209.610.580
239;Won;A;Technology;Average;Monthly;01-01-2022;641.566.990.232.007;30.390.025.088.458.400
240;Won;A;Technology;Good;Annual;01-01-2022;5.778.075.431.690.760;321.422.617.747.461
241;Won;A;Non-Profit;Good;Annual;01-01-2022;41.271.827.685.411.900;27.235.891.928.175.000
242;Won;A;Non-Profit;Good;Annual;01-01-2022;2.990.237.169.259.030;535.900.615.547.687
243;Won;A;Technology;Average;Monthly;01-01-2022;6.521.276.392.153.870;4.790.514.825.943.840
244;Won;None;Technology;Average;Monthly;01-01-2022;5.461.670.629.714.790;3.108.213.528.939.130
245;Won;A;Non-Profit;Good;Annual;01-01-2022;2.996.894.165.219.010;1
246;Won;A;Non-Profit;Good;Monthly;01-01-2022;401.107.619.856.489;2.018.472.768.700.610
247;Won;None;Technology;Good;Monthly;01-01-2022;6.103.151.044.811.770;5.441.542.939.863.620
248;Won;A;Technology;Good;Monthly;01-01-2022;5.965.201.049.210.480;4.911.311.217.655.830
249;Lost;None;Non-Profit;Good;Annual;01-01-2022;30.656.550.641.662.400;24.505.701.331.147.000
250;Won;A;Non-Profit;Average;Annual;01-01-2022;34.084.151.603.729.100;25.746.616.516.823.600
251;Won;None;Technology;Average;Monthly;01-01-2022;5.721.304.720.143.450;3.178.952.654.036.360
252;Won;B;Non-Profit;Good;Monthly;01-01-2022;372.559.912.173.045;8.948.173.236.261.600
253;Won;A;Technology;Good;Annual;01-01-2022;5.735.768.983.674.410;4.280.081.751.130.420
254;Won;A;Technology;Average;Monthly;01-01-2022;61.692.034.910.655.600;5.274.066.964.994.750
255;Won;A;Non-Profit;Good;Monthly;01-01-2022;3.571.196.820.738.130;3.060.610.148.835.400
256;Won;A;Technology;Good;Annual;01-01-2022;5.878.031.196.479.360;5.075.043.085.961.450
257;Lost;B;Technology;Good;Monthly;01-01-2022;6.792.403.254.788.710;5.660.105.774.479.250
258;Won;None;Technology;Poor;Annual;01-01-2022;5.446.960.696.474.610;31.110.131.636.506.900
259;Won;A;Non-Profit;Poor;Annual;01-01-2022;30.570.381.190.640.100;1.777.250.016.990.280
260;Won;A;Technology;Good;Annual;01-01-2022;4.320.793.351.380.280;3.810.855.910.271.510
261;Lost;B;Non-Profit;Average;Annual;01-01-2022;361.973.319.564.544;1.008.509.835.663.840
262;Won;None;Technology;Average;Annual;01-01-2022;54.957.588.447.893.300;4.045.313.270.076.220
263;Lost;None;Non-Profit;Average;Annual;01-01-2022;36.279.218.207.371.500;14.511.624.141.216.000
264;Won;B;Academia;Average;Monthly;02-01-2022;48.423.973.618.359.600;2.900.456.909.233.490
265;Lost;B;Government;Good;Monthly;02-01-2022;4.654.561.267.120.010;14.447.033.051.131.400
266;Won;None;Government;Good;Monthly;02-01-2022;5.087.629.375.671.110;367.695.850.803.586
267;Won;A;Government;Poor;Monthly;02-01-2022;4.603.604.489.966.130;36.129.152.252.526.700
268;Lost;None;Academia;Good;Annual;02-01-2022;33.114.733.153.926.000;14.851.650.906.836.100
269;Won;None;Government;Good;Annual;02-01-2022;53.293.810.654.732.000;4.623.155.709.931.620
270;Lost;B;Government;Good;Monthly;02-01-2022;4.890.459.275.009.450;29.601.714.388.683.300
271;Won;A;Academia;Good;Monthly;02-01-2022;3.978.554.401.216.640;2.501.683.115.968.420
272;Lost;None;Government;Good;Annual;02-01-2022;5.294.234.396.024.190;28.504.565.077.393.400
273;Won;A;Manufacturing;Average;Annual;02-01-2022;39.046.620.432.928.400;7.617.639.034.717.700
274;Won;A;Government;Good;Annual;02-01-2022;51.103.392.554.527.900;18.152.849.025.166.400
275;Won;B;Government;Good;Monthly;02-01-2022;5.100.380.505.127.110;4.322.495.858.138.320
276;Lost;None;Academia;Poor;Monthly;02-01-2022;4.580.079.505.094.360;2.325.684.801.623.250
